frame tl.x tl.y br.x br.y
8 3585 2155 3595 2165
8 3835 2125 3840 2130
8 3835 2109 3840 2114
8 3835 2094 3840 2099
8 0 2090 6 2096
8 0 2070 6 2076
8 3835 2057 3840 2062
8 3834 2024 3840 2030
8 82 1720 92 1730
8 3835 1626 3840 1631
8 2845 1621 2848 1624
8 2835 1609 2855 1629
8 0 1579 6 1585
8 2791 1509 2834 1552
8 2955 1499 2980 1524
8 2731 1433 2774 1476
8 2335 1426 2346 1437
8 2320 1400 2330 1410
8 2329 1390 2339 1400
8 2310 1386 2323 1399
8 1521 1371 1540 1390
8 1601 1296 1625 1320
8 1540 1295 1543 1298
8 1527 1282 1555 1310
8 2964 1277 2993 1306
8 1417 1244 1455 1282
8 2495 1199 2507 1211
8 2892 1171 2935 1214
8 102 969 112 979
8 2281 923 2291 933
8 1427 690 1442 705
8 1427 670 1448 691
8 3835 314 3840 319
8 3729 0 3740 11
8 3538 0 3548 10
9 3835 2094 3840 2099
9 1217 2059 1227 2069
9 82 1720 92 1730
9 2834 1611 2854 1631
9 2796 1510 2837 1551
9 2957 1505 2981 1529
9 2757 1446 2761 1450
9 2733 1435 2778 1480
9 2335 1423 2355 1443
9 2308 1385 2338 1415
9 1518 1370 1543 1395
9 1605 1296 1621 1312
9 1530 1280 1556 1306
9 2967 1279 2995 1307
9 1417 1245 1453 1281
9 2494 1200 2508 1214
9 2892 1171 2937 1216
9 2281 921 2294 934
9 1428 690 1442 704
9 1431 670 1450 689
9 3835 318 3840 323
9 3729 0 3740 11
10 3835 2125 3840 2130
10 3835 2094 3840 2099
10 0 2090 6 2096
10 3835 2080 3840 2085
10 1217 2059 1227 2069
10 0 2034 6 2040
10 3835 2021 3840 2026
10 2982 1906 2992 1916
10 3835 1626 3840 1631
10 2834 1620 2846 1632
10 2799 1512 2838 1551
10 2955 1505 2982 1532
10 2743 1435 2779 1471
10 2334 1424 2353 1443
10 2307 1385 2337 1415
10 1519 1370 1545 1396
10 1606 1296 1626 1316
10 1531 1281 1557 1307
10 2968 1280 2996 1308
10 1432 1256 1435 1259
10 1413 1245 1449 1281
10 2494 1200 2510 1216
10 2892 1173 2940 1221
10 1428 670 1451 693
11 1219 2058 1229 2068
11 0 2034 6 2040
11 3824 1870 3835 1881
11 2936 1840 2946 1850
11 2835 1612 2854 1631
11 2801 1515 2839 1553
11 2955 1499 2983 1527
11 2743 1436 2781 1474
11 2343 1424 2354 1435
11 2305 1383 2337 1415
11 1520 1371 1549 1400
11 1605 1297 1626 1318
11 2976 1288 2998 1310
11 1534 1281 1557 1304
11 2968 1280 2979 1291
11 1417 1245 1449 1277
11 2447 1236 2459 1248
11 2494 1200 2511 1217
11 2907 1192 2910 1195
11 2896 1184 2942 1230
11 1428 668 1452 692
12 2484 2155 2494 2165
12 0 2099 6 2105
12 1219 2058 1229 2068
12 0 2034 6 2040
12 3824 1870 3834 1880
12 2930 1826 2944 1840
12 0 1824 6 1830
12 2835 1612 2854 1631
12 0 1611 6 1617
12 2974 1528 2984 1538
12 2801 1514 2842 1555
12 2955 1504 2979 1528
12 2746 1435 2783 1472
12 2345 1425 2355 1435
12 2305 1382 2337 1414
12 1532 1377 1549 1394
12 1605 1297 1626 1318
12 2976 1288 2999 1311
12 1536 1281 1557 1302
12 1417 1245 1449 1277
12 2447 1234 2460 1247
12 2918 1212 2943 1237
12 2495 1200 2511 1216
12 2898 1186 2926 1214
12 1443 684 1446 687
12 1440 684 1443 687
12 1428 668 1453 693
12 3818 194 3828 204
13 3616 2155 3626 2165
13 3834 2094 3840 2100
13 1219 2058 1229 2068
13 2933 1828 2949 1844
13 2835 1612 2852 1629
13 0 1611 6 1617
13 0 1581 6 1587
13 2970 1527 2974 1531
13 2804 1515 2845 1556
13 2959 1514 2985 1540
13 2747 1435 2786 1474
13 2345 1425 2355 1435
13 2301 1382 2335 1416
13 1520 1377 1548 1405
13 2989 1301 2999 1311
13 1607 1297 1623 1313
13 2971 1285 2997 1311
13 1536 1281 1560 1305
13 1413 1254 1423 1264
13 1431 1245 1449 1263
13 2496 1201 2511 1216
13 2898 1187 2946 1235
13 2279 922 2294 937
13 1440 683 1446 689
13 1429 667 1454 692
14 1442 2083 1452 2093
14 1219 2058 1229 2068
14 2932 1828 2951 1847
14 2835 1616 2849 1630
14 0 1611 6 1617
14 2975 1531 2985 1541
14 2957 1514 2981 1538
14 2804 1514 2848 1558
14 0 1455 6 1461
14 2749 1438 2787 1476
14 2345 1425 2355 1435
14 2300 1381 2331 1412
14 1534 1378 1544 1388
14 1521 1378 1532 1389
14 2989 1301 2999 1311
14 1609 1296 1622 1309
14 2973 1287 2987 1301
14 1538 1278 1560 1300
14 1592 1249 1602 1259
14 1436 1245 1450 1259
14 2918 1206 2952 1240
14 2496 1201 2511 1216
14 2899 1188 2916 1205
14 2284 923 2294 933
14 1430 665 1456 691
15 1442 2082 1452 2092
15 0 2052 6 2058
15 3747 2051 3758 2062
15 2932 1827 2955 1850
15 2835 1614 2851 1630
15 0 1581 6 1587
15 0 1533 6 1539
15 2805 1517 2849 1561
