frame tl.x tl.y br.x br.y
8 2835 1609 2855 1629
8 2791 1509 2834 1552
8 2955 1499 2980 1524
8 2731 1433 2774 1476
8 1521 1371 1540 1390
8 1601 1296 1625 1320
8 1527 1282 1555 1310
8 2964 1277 2993 1306
8 1417 1244 1455 1282
8 2892 1171 2935 1214
8 1427 690 1442 705
8 1427 670 1448 691
9 2834 1611 2854 1631
9 2796 1510 2837 1551
9 2957 1505 2981 1529
9 2733 1435 2778 1480
9 2335 1423 2355 1443
9 2308 1385 2338 1415
9 1518 1370 1543 1395
9 1605 1296 1621 1312
9 1530 1280 1556 1306
9 2967 1279 2995 1307
9 1417 1245 1453 1281
9 2892 1171 2937 1216
9 1428 690 1442 704
9 1431 670 1450 689
10 2799 1512 2838 1551
10 2955 1505 2982 1532
10 2743 1435 2779 1471
10 2334 1424 2353 1443
10 2307 1385 2337 1415
10 1519 1370 1545 1396
10 1606 1296 1626 1316
10 1531 1281 1557 1307
10 2968 1280 2996 1308
10 1413 1245 1449 1281
10 2494 1200 2510 1216
10 2892 1173 2940 1221
10 1428 670 1451 693
11 2835 1612 2854 1631
11 2801 1515 2839 1553
11 2955 1499 2983 1527
11 2743 1436 2781 1474
11 2305 1383 2337 1415
11 1520 1371 1549 1400
11 1605 1297 1626 1318
11 2976 1288 2998 1310
11 1534 1281 1557 1304
11 1417 1245 1449 1277
11 2494 1200 2511 1217
11 2896 1184 2942 1230
11 1428 668 1452 692
12 2835 1612 2854 1631
12 2801 1514 2842 1555
12 2955 1504 2979 1528
12 2746 1435 2783 1472
12 2305 1382 2337 1414
12 1532 1377 1549 1394
12 1605 1297 1626 1318
12 2976 1288 2999 1311
12 1536 1281 1557 1302
12 1417 1245 1449 1277
12 2918 1212 2943 1237
12 2495 1200 2511 1216
12 2898 1186 2926 1214
12 1428 668 1453 693
13 2933 1828 2949 1844
13 2835 1612 2852 1629
13 2804 1515 2845 1556
13 2959 1514 2985 1540
13 2747 1435 2786 1474
13 2301 1382 2335 1416
13 1520 1377 1548 1405
13 1607 1297 1623 1313
13 2971 1285 2997 1311
13 1536 1281 1560 1305
13 1431 1245 1449 1263
13 2496 1201 2511 1216
13 2898 1187 2946 1235
13 2279 922 2294 937
13 1429 667 1454 692
14 2932 1828 2951 1847
14 2835 1616 2849 1630
14 2957 1514 2981 1538
14 2804 1514 2848 1558
14 2749 1438 2787 1476
14 2300 1381 2331 1412
14 1609 1296 1622 1309
14 2973 1287 2987 1301
14 1538 1278 1560 1300
14 1436 1245 1450 1259
14 2918 1206 2952 1240
14 2496 1201 2511 1216
14 2899 1188 2916 1205
14 1430 665 1456 691
15 2932 1827 2955 1850
15 2835 1614 2851 1630
15 2805 1517 2849 1561
15 2957 1514 2986 1543
15 2752 1438 2787 1473
15 2313 1382 2333 1402
15 1541 1297 1560 1316
15 2973 1286 2997 1310
15 1537 1278 1556 1297
15 1425 1245 1449 1269
15 2924 1214 2954 1244
15 2902 1188 2918 1204
15 1431 664 1457 690
16 2935 1834 2954 1853
16 2836 1614 2851 1629
16 2807 1519 2850 1562
16 2957 1515 2986 1544
16 2755 1448 2787 1480
16 2310 1381 2328 1399
16 1522 1377 1546 1401
16 1609 1291 1628 1310
16 2972 1287 2997 1312
16 1537 1279 1556 1298
16 1426 1245 1449 1268
16 2902 1188 2954 1240
16 1431 662 1458 689
17 2930 1826 2955 1851
17 2836 1615 2850 1629
17 2808 1521 2850 1563
17 2956 1508 2986 1538
17 2756 1449 2787 1480
17 2297 1376 2330 1409
17 1521 1374 1546 1399
17 1610 1301 1628 1319
17 2973 1285 2993 1305
17 1541 1278 1555 1292
17 1412 1244 1449 1281
17 2924 1208 2954 1238
17 2903 1188 2922 1207
17 1431 659 1459 687
18 2931 1828 2954 1851
18 2834 1615 2849 1630
18 2811 1524 2852 1565
18 2956 1508 2987 1539
18 2756 1451 2787 1482
18 2416 1401 2433 1418
18 1521 1375 1539 1393
18 2298 1373 2327 1402
18 1610 1289 1633 1312
18 2973 1287 2993 1307
18 1540 1277 1559 1296
18 1421 1245 1449 1273
18 2925 1219 2954 1248
18 2905 1198 2935 1228
18 1432 657 1461 686
19 2931 1828 2955 1852
19 2834 1615 2849 1630
19 2811 1525 2854 1568
19 2957 1508 2989 1540
19 2759 1453 2787 1481
19 2340 1432 2357 1449
19 2417 1398 2436 1417
19 2296 1370 2327 1401
19 1610 1289 1634 1313
19 2976 1287 2998 1309
19 1537 1277 1551 1291
19 1405 1245 1419 1259
19 1420 1244 1446 1270
19 2926 1221 2955 1250
19 2907 1200 2935 1228
19 1431 657 1462 688
20 2931 1830 2955 1854
20 2834 1616 2847 1629
20 2818 1529 2855 1566
20 2957 1509 2987 1539
20 2762 1455 2787 1480
20 2340 1431 2357 1448
20 2420 1398 2437 1415
20 2295 1368 2326 1399
20 2976 1288 2998 1310
20 1610 1288 1634 1312
20 1537 1277 1550 1290
20 1405 1244 1444 1283
20 2941 1222 2956 1237
20 2909 1203 2935 1229
20 1431 657 1462 688
21 2930 1829 2955 1854
21 2834 1617 2847 1630
21 2818 1529 2856 1567
21 2958 1512 2989 1543
21 2766 1458 2788 1480
21 2342 1434 2359 1451
21 2420 1395 2439 1414
21 2308 1379 2324 1395
21 2295 1367 2307 1379
21 1610 1293 1631 1314
21 2981 1289 2999 1307
21 1418 1243 1441 1266
21 2912 1204 2956 1248
21 2109 840 2124 855
21 1432 657 1466 691
22 2834 1617 2847 1630
22 2819 1530 2856 1567
22 2958 1512 2987 1541
22 2790 1477 2807 1494
22 2766 1459 2783 1476
22 2342 1434 2359 1451
22 2420 1394 2439 1413
22 2291 1364 2323 1396
22 1610 1293 1632 1315
22 1418 1244 1440 1266
22 2915 1206 2957 1248
22 2482 1192 2500 1210
22 1431 657 1468 694
23 3835 2067 3840 2072
23 2931 1829 2952 1850
23 2819 1532 2868 1581
23 2958 1516 2987 1545
23 2790 1477 2811 1498
23 2766 1459 2783 1476
23 2342 1427 2359 1444
23 2414 1394 2439 1419
23 2290 1362 2309 1381
23 1610 1294 1634 1318
23 2934 1222 2959 1247
23 2919 1209 2936 1226
23 2486 1200 2501 1215
23 2107 839 2124 856
23 1431 657 1469 695
24 2822 1532 2866 1576
24 2959 1516 2987 1544
24 2788 1471 2814 1497
24 2766 1459 2783 1476
24 2342 1427 2359 1444
24 2420 1388 2441 1409
24 2289 1360 2309 1380
24 1610 1293 1634 1317
24 2921 1210 2959 1248
24 2486 1200 2506 1220
24 2107 838 2123 854
24 1434 657 1469 692
25 2822 1535 2866 1579
25 2959 1516 2988 1545
25 2790 1475 2816 1501
25 2769 1460 2784 1475
25 2338 1427 2359 1448
25 2420 1387 2443 1410
25 2287 1358 2309 1380
25 1610 1293 1635 1318
25 2923 1211 2959 1247
25 2486 1200 2508 1222
25 1441 657 1470 686
